AW08ÇÃéûì_Ç≈ÇÃéÊà¯èÛãµ	ç≈êVéÊà¯ÉVÅ[ÉYÉì	OBICä«óùÇÃÉuÉâÉìÉhó™èÃ	OBICä«óùÇÃÉuÉâÉìÉhCode	éÊçûópÉuÉâÉìÉhCode	BrandñºèÃ	Brand èZèä	Brand ìsés	Brand óXï÷î‘çÜ	Brand çëñº	Brand çëcd	tel	fax	Mobile	íSìñé“	íSìñé“EMAIL	âÔé–ñº	Shipperñº	Shipper çëñº	Shipper çëcd	í â›	éxï•èåèÅiBulkÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢	éxï•èåè îıçl	éxï•Ç¢ó\íËã‡äzéZèoï˚ñ@			éxï•èåèÅiSampleÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢																âﬂãéÇÃèÓïÒ		
continue		JCR	70	70	JANE CARR	1579 Loucester Avenue	London	NW1 8TP	UNITED KINGDOM	GBR	44.(0)20.7483.0947		7762.11606	Neil	sales@jane-carr.co.uk	JANE-CARR	JANE-CARR	UNITED KINGDOM	GBR	GBP	30% at proforma invoice 70% 30days after shipment date	31	0.00%	excluded		ETD	30	70				excluded	STOLE	goldie H.P.FRANCE						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1294	"30% on proforma, 70% 30days after delivery date"	*
continue		JAC	82	82	JANET COLLIN	"Studio 401 Centrallofts, 21 Waterloo Street"	Newcastle Upon Tyne 	NE1 4AL	UNITED KINGDOM	GBR	44.(0)191.261.5955	44.(0)191.261.8111	44.(0)781.0453.930	Janet Collin	janet@janetcollin.com	JANET COLLIN	JANET COLLIN	UNITED KINGDOM	GBR	GBP	100% 30days after shipment date 	7	10.00%	excluded		ETD	30	100	100% with main order's payment	16	0.00%	excluded	BAG	Showroom	Theatre					Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1296	30days	together with bulk
*	SS07	JNL	187	187	Jeannette Lehr	11 Rue Mansard	Paris	75009	FRANCE	FRA	33.(0)1.45.26.45.78	33.(0)1.45.26.45.78		Jeannette	jeannettelehr@libertysurf.fr	JEANNETTE LEHR	JEANNETTE LEHR	FRANCE	FRA	EUR	100% 30days after shipment date 	7	5.00%	excluded		ETD	30	100	100% 30days after shipment date 	7	5.00%	excluded	BAG	Showroom						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	923	30days after invoice date	30days after invoice date
continue		JEAN	765	765	Jean Shop	435 West 14th street	New York	NY 10014	UNITED STATES	USA	212.366.5326	212.366.4511		Eric		JEAN SHOP		UNITED STATES	USA	USD			0.00%	excluded								excluded		Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1453		*
*	SS07	LAX	799	3028	JEFF GALLEA	5620 W.Pico Blvd.	Los Angeles	CA 90019	UNITED STATES	USA	323.933.8704	323.933.8704				JEFF GALLEA		UNITED STATES	USA	JPY	100% after shipment date 	13	0.00%	excluded		ETD	10	100				excluded	RTW	Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1357	COD	*
continue		JER	169	169	JEMIMA ROGERS	"35 Pennybank Chamrers 33-35, St.Johns Square"	London	EC1 M4DS	UNITED KINGDOM	GBR	44.(0)20.7250.1802	44.(0)20.7603.9686		Jemima	Jemima.Rogers@btinternet.com	JEMIMA ROGERS	JEMIMA ROGERS	UNITED KINGDOM	GBR	GBP	50% at proforma invoice 50% 14days after receiving goods	45	5.00%	excluded		î¿ì¸ì˙	14	50	100% with main order's payment	16	5.00%	excluded	ACC	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	987	50% confirmation/50% 14days after receiving goods in japan	paid with main order's payment
*	SS07	JB	89	89	JEREMIE BARTHOD	4 Rue Dautancourt	Paris	75017	FRANCE	FRA	33.(0)1.44.85.96.84	33.(0)1.44.85.96.84/33.(0)1.43.87.58.61		Mme.Jeremie	jeremie.barthod@wanadoo.fr	SARL JEREMIE BARTHOD	JEREMIE BARTHOD	FRANCE	FRA	EUR	100% 30days after shipment date 	7	5.00%	excluded		ETD	30	100	100% with main order's payment	16	5.00%	excluded	ACC	Kioku	H.P.FRANCE BOUTIQUE					Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	924	30days after invoice date	paid with main order's payment
continue				2159	JEROME ABEL SEGUIN	30 Rue de Candale	Pantin	93500	FRANCE	FRA	33.(0)1.48.10.80.29	33.(0)1.48.10.80.30				JEROME ABEL SEGUIN	JEROME ABEL SEGUIN	FRANCE	FRA	EUR	50% at proforma invoice 50% before shipment date	50	0.00%	excluded		*	*	0				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1187	"50% on proforma, 50% before shipment"	*
continue		JD	260	260	JEROME DREYFUSS	36 Boulevard de la Bastille	Paris	75012	FRANCE	FRA	33.(0)1.43.44.63.27	33.(0)1.43.44.48.44		Doris Pang	sales@jerome-dreyfuss.com	SARL 109	SARL 109	FRANCE	FRA	EUR	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100	100% with main order's payment	16	0.00%	excluded	BAG	H.P.FRANCE exclusive	goldie H.P.FRANCE	Theatre				Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	925	30days after invoice date	with main order (prices up to 15% as additional cost)
continue		JONO	146	146	JO NO FUI	Via San Giovenale nÅã 86	VISERBA di RIMINI (RN)	47811	ITALY	ITA	541.733851	541.733851		Alessandra	Alessandra.commerciale@jonofui.it	NEWPORT SRL	NEWPORT SRL	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0			0.00%	excluded	RTW	Theatre						Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1473	30%proforma/70%before shipment	*
*	SS07			2160	JOHANNA BRAITBART	8 Passage du Grand Cerf	Paris	75002	FRANCE	FRA	33.(0)1.44.82.09.29	33.(0)1.44.82.09.29	33.(0)6.16.74.33.82	Johanna BRAITBART	johannabraitbart@hotmail.com	JOHANNA BRAITBART		FRANCE	FRA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70	100% with main order's payment	16	0.00%	excluded	BAG	Usagi Pour Toi						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	926	30% Deposit / 70% After delivery	with bulk order
continue				2037	JOHN ROCHA	10 Ely Place Dublin 2	Dublin		IRELAND	IRL	353.1.6629225	353.1.6629226		Aileen Carulle	aileen@johnrocha.ie	THREE MOONS DESIGN LIMITED	THREE MOONS DESIGN LIMITED	IRELAND	IRL	EUR	30% at proforma invoice 70% 15days after shipment date	27	7.00%	excluded		ETD	15	70	100% with main order's payment	16	0.00%	excluded	RTW	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1043	30%proforma / 70% 15days	paid with proforma
continue		JF	522	522	Josep Font	Ciutat de Granada 96-98 Baixos	Barcelona	08018	SPAIN	ESP	34 093 300 3111	34 093 300 5125		Ruth Bruguera		GABRIELA S.L.	GABRIELA S.L.	SPAIN	ESP	EUR	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100	100% 30days after shipment date 	7	0.00%	excluded	RTW	H.P.FRANCE exclusive						exclusiveè¨ë∫Ç≥ÇÒ	000071	Miwa Omura	000071	miwa_omura@hpgrp.com	H.P.FRANCE S.A.	+81 3 5540 5091	+81 3 5778 2160	1011	30days after invoice date	30days after invoice date
continue		LAX	799	3029	JOSHUA	Aranguren 2815/17 CP 	Buenos Aires	C1406FXA	ARGENTINA	ARG	54.11.4611.4267			Pablo		PROMOD SA		ARGENTINA	ARG	JPY			0.00%	excluded								excluded		Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1459		*
continue		JDA	752	752	JUANA DE ARCO	El Salvador 4762 P 	Ciudad Autonoma de Buenos Aires	C1414BL	ARGENTINA	ARG	54.11.4833.1621			Beatriz	beatrizlarroza@yahoo.com.ar	JUANA DE ARCO	JUANA DE ARCO	ARGENTINA	ARG	USD	100% 30days after receiving goods 	6	0.00%	excluded		î¿ì¸ì˙	30	100				excluded	RTW	Destination NY						AMERICASí|ñ{Ç≥ÇÒ	000044	Yumiko Takemoto	000044	yumico_takemoto@hpgrp.com	H.P.FRANCE S.A.	+81 3 5688 1127	+81 3 5688 6620	876	100% 30days after delivery arrived to Japan	*
*	SS07	JUDA	71	71	JUDARI	Piassa Borromeo 10	Milano	20123	ITALY	ITA	39.02.86452361	39.02.8693389		Norman Villa	norman.v@guillaumehinfray.com	PARTICOLARE S.R.L.	PARTICOLARE S.R.L.	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0				excluded	SHOES	goldie H.P.FRANCE						Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1344	30%proforma/70%before shipment	*
continue		JM	120	120	JULIE MEURISS	5 Rue Jacques Bingen	Dunkerque	59140	FRANCE	FRA	33.(0)3.28.07.95.86	33.(0)3.28.07.95.86	33.(0)6.64.14.21.87	Julie	info@juliemeuriss.com	TECHNINET S.A.R.L	TECHNINET S.A.R.L	FRANCE	FRA	EUR	20% at proforma invoice 80% 30days after shipment date	18	0.00%	excluded		ETD	30	80				excluded	BAG	H.P.FRANCE BOUTIQUE						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1292	20% proforma 80% 30days after invoice date	*
*	SS08			331	JULIE SCHOUVEY	"46 Ter, rue du Bel Air"	Le Perreux sur Marne	94170	FRANCE	FRA	33.(0)1.43.24.22.80	33.(0)1.43.48.62.73		Julie	js.histoiretactile@free.fr	JULIE SCHOUVEY	JULIE SCHOUVEY	FRANCE	FRA	EUR	100% before shipment date 	15	3.00%	excluded		*	*	0				excluded	ACC	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1329	100% before delivery	*
continue				2038	KAORU KANEKO	Piazza S.Ambrogio 19	Vigevano(PV)	27029	ITALY	ITA	39.0381.71684	39.0381.71684		Ms.Kaneko	contact@kanekodesign.it	KANEKO DESIGN S.A.S	KANEKO DESIGN S.A.S	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0	100% with main order's payment	16	0.00%	excluded	SHOES	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1532	"30% on proforma, 70% before delivery"	paid with main order's payment
continue				2161	KARIN WAGNER	4056 Basel St.Johanns-Ring 42			SWITZERLAND	CHE	41 61 382 10 47	41 61 382 99 47		Karin Wagner	info@karin-wagner.ch	Atelier Karin Wagner	Atelier Karin Wagner	SWITZERLAND	CHE	EUR	100% 14days after shipment date 	2	0.00%	excluded		ETD	14	100	100% 14days after shipment date 	2	0.00%	excluded	ACC	Lamp						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1380	100% 14days after delivery date	100% 14days after delivery date
continue		KZ	152	152	Karizen Bijoux	50 rue Parvery	Villennes sur seine	78670	FRANCE	FRA	33.(0)1.39.08.06.78	33.(0)1.39.75.59.97	33.(0)6.10.11.19.85	Mme.Karine	karizen-bijoux@wanadoo.fr	KARIZEN	KARIZEN	FRANCE	FRA	EUR	30% at proforma invoice 70% 7days after shipment date	33	0.00%	excluded		ETD	7	70	100% with main order's payment	16	0.00%	excluded	ACC	Kioku						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	929	30% proforma/70%1week after invoice date	paid with main order's payment
continue				2039	KATHERINE PRADEAU	42 Rue des Gravilliers	Paris	75003	FRANCE	FRA	33.(0)1.42.72.30.59			Katherine	contact@katherine-pradeau.com			FRANCE	FRA	EUR	100% before shipment date 	15	0.00%	excluded		*	*	0				excluded	BAG	Kioku						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1423	100% before shipment	*
continue				2040	KAVIAR GAUCHE	Torstre 56	Berlin	10119	GERMANY	DEU	49.(0)30.44045430	49.(0)30.30881664	49.(0)30.48623111	Johanna Kuhl	info@kaviargauche.com	FLSCHER-ROEHLER & KUHL GMBH	FLSCHER-ROEHLER & KUHL GMBH	GERMANY	DEU	EUR	100% after shipment date 	13	0.00%	excluded		ETD	10	100				excluded	RTW	WUT						Yann Le Goec	sample06	Yann Le Goec	sample06	yann_le_goec@hpgrp.com	H.P.FRANCE S.A.	+81 3 5489 0771	+81 3 5489 0772	1208	100% after delivery	*
continue		KEI	524	524	KEI KAGAMI	86A Hornsey Road	London	N7 7NN	UNITED KINGDOM	GBR	44.(0)20.7619.9868	44.(0)20.7619.9868		Kei KAGAMI	keikagami@btinternet.com	KEI KAGAMI	KEI KAGAMI	UNITED KINGDOM	GBR	GBP	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100				excluded	RTW	H.P.FRANCE exclusive						exclusiveè¨ë∫Ç≥ÇÒ	000071	Miwa Omura	000071	miwa_omura@hpgrp.com	H.P.FRANCE S.A.	+81 3 5540 5091	+81 3 5778 2160	1012	30days after invoice date	*
continue				2162	KIM & GARO	"14A, Rue Notre Dame de Nazarette 75003 Paris"	Paris	75003	FRANCE	FRA	33.(0)1.42.74.64.05	33.(0)1.42.74.15.20		Renaud	kim.et.garo@wanadoo.fr	KIM & GARO		FRANCE	FRA	EUR	100% at proforma invoice 	14	0.00%	excluded		*	*	0			0.00%	excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1088	100% on Proforma	*
*	SS08			2163	KIM JONES	43 Chalk Farm Road	London	NW1 8AJ	UNITED KINGDOM	GBR	44.78159134			Natsuko	sales@kimjones.com	kim jones limited		UNITED KINGDOM	GBR	GBP	100% after checking goods 	11	0.00%	excluded		ETD	10	100				excluded	RTW	Factory						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1433	100% after checking goods	*
continue		KH	189	189	KIRT HOLMES	16 Camden Passage	London	N1 8ED	UNITED KINGDOM	GBR	44.(0)20.7226.1080	44.(0)20.7226.1024		Kirt	kirt@kirtholmes.com	KIRT HOLMES	KIRT HOLMES	UNITED KINGDOM	GBR	GBP	100% 30days after shipment date 	7	3.00%	excluded		ETD	30	100	100% 30days after shipment date 	7	3.00%	excluded	ACC	Showroom						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	823	30days after invoice date	30 days after invoice date
continue		LAX	799	3030	KITCHEN ORANGE	1625 Chabanel W. Suite 1041	"Montreal,Quebec "		CANADA	CAN	1.514.381.4664	1.514.381.1264		Gin		KITCHEN ORANGE		CANADA	CAN	JPY			0.00%	excluded								excluded		Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1463		*
*	AW07			2164	KLOSET	26/44-45 Orakarn Bldg. 12A Floor Childlom Rd Lumpini Pathmwan	Bangkok	10330	THAILAND	THA	(66)265-6117-8	(66)2655 6114	(66)86 99969 69	Mollika	mollikar@klosetdesign.com	"Kloset Design Co.,Ltd"		THAILAND	THA	EUR	30% at proforma invoice 70% 10days after shipment date	24	0.00%	excluded		ETD	10	70				excluded	RTW	Lamp						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1383	30% deposit 70% 10days after delivery	*
*	SS08	HPBQ	261	3009	KONTESSA	"Via Sarzanese Vaidera, 72"	Cascine di Buti-Pisa	56032	ITALY	ITA	39.05.87723484	39.05.87725200		Gloria	sales@kontessaccessori.it	MARIGROUP s.r.l.		ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0				excluded	BAG	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1439	"30% deposit at proforma, 70% before delivery"	*
*	SS07			2165	KOWALSKI	B-03188802 Ctra Casa del Leon KM.2(POL.PINET)	Elchae(Alicante)	03293	SPAIN	ESP	34.96663061	34.96663151		Mr.Jose/Mr.Ricardo	kowalski@kowalski.es	"BOCACCHO, S.L.C.I.F."	"BOCACCHO, S.L.C.I.F."	SPAIN	ESP	EUR	30% at proforma invoice 70% before shipment date	37	3.00%	excluded		*	*	0	100% with main order's payment	16	0.00%	excluded	SHOES	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1119	"30% proforma,70% before delivery"	paid with main order's payment
continue				2109	KRISTINA TI	"Via Ferruccio Parri, 2"	Trofarello (Torino)	10028	ITALY	ITA	39.011.6483911	39.011.6483912		Paola/Hiromi OSAKI	infotamigi@tamigi.it/hiromi.osaki@tamigi.it	TAMIGI S.p.A.	TAMIGI S.P.A.	ITALY	ITA	EUR	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100	100% after shipment date 	13	0.00%	excluded	RTW	Concento	PR01					EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1044	30days after invoice date	8days after delivery date
continue				2166	LA CHAISE LONGUE	7 Av. Arago ZI La Vigne aux Loups	Chily-Mazarin	91380	FRANCE	FRA	33.(0)1.64.54.00.18	33.(0)1.64.48.15.32		Dominique Dumas	dominique.export@chaiselongue.com	LA CHAISE LONGUE		FRANCE	FRA	EUR	100% at proforma invoice 	14	3.00%	excluded		*	*	0			0.00%	excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1090	100% on Proforma	*
continue		PS	88	88	LA PETITE SALOPE	"Unit 12c Regent Studios, 8 Andrews Road"	London	E8 4QN	UNITED KINGDOM	GBR	44.(0)20.7254.6400	44.(0)20.7254.6418		Dara Stringham	dara@lapetitesalope.com	LA PETITE SALOPE Limited	LA PETITE SALOPE Limited	UNITED KINGDOM	GBR	GBP	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100				excluded	RTW	Theatre						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1345	30days after invoice date	*
continue				2167	LA TETE AU CUBE	20 Rue de l'Est	Paris	75020	FRANCE	FRA	33.(0)1.43.14.73.99	33.(0)1.47.00.53.99		Jerome Fischbach	jerome@lateteaucube.com	S.A.R.L.LA TETE AU CUBE		FRANCE	FRA	EUR	40% at proforma invoice 60% after shipment date	41	0.00%	excluded		ETD	10	60				excluded	DECO	HPH						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1323	"40% on proforma, 60% before delivery"	*
*	SS07			2168	LALA BERLIN	Mulack Str 7	Berlin	10119	GERMANY	DEU	49.(0)30.65795464	49.(0)30.65795467	49.(0)17.78548676	Leyla Piedayeh	leyla@lalaberlin.com	LALA BERLIN	LALA BERLIN	GERMANY	DEU	EUR	100% after shipment date 	13	0.00%	excluded		ETD	10	100				excluded	RTW/STOLE	WUT						Yann Le Goec	sample06	Yann Le Goec	sample06	yann_le_goec@hpgrp.com	H.P.FRANCE S.A.	+81 3 5489 0771	+81 3 5489 0772	1256	10 days after delivery	*
continue				2169	LAMALI	19 bis Rue de Cour des Noues	Paris	75020	FRANCE	FRA	33.(0)1.44.62.60.70	33.(0)1.44.62.07.00			info@lamali.com	LAMALI		FRANCE	FRA	EUR	100% at proforma invoice 	14	0.00%	excluded		*	*	0				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1483	100% on Proforma	*
continue		LARA	23	23	LARA BOHINC	51 Hoxton Square	London	N1 6NU	UNITED KINGDOM	GBR	44.(0)20.7684.1465	44.(0)207.684.1459		Lejla Redja	lejla@larabohinc.com	LARA BOHINC INTERNATIONAL LIMITED	LARA BOHINC INTERNATIONAL LIMITED	UNITED KINGDOM	GBR	GBP	30% at proforma invoice 70% 30days after shipment date	31	10.00%	excluded		ETD	30	70				excluded	ACC/BAG	Showroom						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1164	30%proforma/70% 30days after invoice date	*
continue		LAU	87	87	LAURA B	C.Ample 33 2Åã2Åã	Barcelona	08002	SPAIN	ESP	34 932 683 071	34 932 683 071		Daniela/Laura	laurab_bcn@yahoo.es	LAURA BORTOLAMI	LAURA BORTOLAMI	SPAIN	ESP	EUR	100% 30days after receiving goods 	6	0.00%	excluded		î¿ì¸ì˙	30	100	100% 30days after receiving goods 	6	0.00%	excluded	ACC	Concento	Theatre					EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1045	30days after receiving goods	30days after receiving goods
*	SS07	LFM	75	75	LE FLEUR DU MAL	"Via Marcona, 9"	Milano	20129	ITALY	ITA	39.02.5412.0359	39.02.5412.0353		Francesca d'Errico	sales@marcona3.com	#09 sas	#09 sas	ITALY	ITA	EUR	30% at proforma invoice 70% after checking goods	34	0.00%	excluded		î¿ì¸ì˙	10	70				excluded	SHOES	goldie H.P.FRANCE						Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1346	30% on proforma/70% after checking goods	*
continue				2041	LE SHOWROOM	13 rue Titon 75011 Paris	Paris	75011	FRANCE	FRA	33.(0)1.43 72.75.37	33.(0)1.43.73.28.42		Hortensia de Hutten	hdehutten@leshowroom.fr	PICAFLOR SARL		FRANCE	FRA	EUR	100% after checking goods 	11	0.00%	excluded		ETD	10	100				excluded	ACC	Kioku						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1498	100% after cheking goods	*
continue		LCM	166	166	LEA CLEMENT	5 rue de Toulouse	Rennes	35000	FRANCE	FRA	33.(0)2.23.47.02.20	33.(0)2.23.47.02.30		Pierre	contact@leaclement.com	LEA CLEMENT		FRANCE	FRA	EUR	100% after receiving goods 	12	0.00%	excluded		î¿ì¸ì˙	10	100				excluded	STOLE	goldie H.P.FRANCE						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1499	100% after receiving goods	*
continue		LEAP	64	64	LEAPIOPERAIE	"Via Sicilia, 5"	Lequile (LE)	73010	ITALY	ITA	39.0832.634982	39.0832.261549	39.33540633	Barbara	leapioperaie@virgilio.it	LEAPIOPERAIE	LEAPIOPERAIE	ITALY	ITA	EUR	100% 14days after shipment date 	2	0.00%	excluded		ETD	14	100				excluded	BAG	goldie H.P.FRANCE	Theatre					Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1295	15days after delivery	*
continue		LEI	785	785	LEATHER ISLAND	3200 South Kingshigway Street	Louis	Missouri 63139	UNITED STATES	USA	314.664.4498	314.664.4676		Jessica		Apuarius LTD		UNITED STATES	USA	USD	100% after shipment date 	13	20.00%	excluded		ETD	10	100				excluded	ACC	Destination NY						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1366	COD	*
*	SS07	LAX	799	3031	LEATHEROCK	5285 Lovelock st	Sandiego	CA 92110	UNITED STATES	USA	619-299-7625	619-299-7629				LEATHEROCK INT'L		UNITED STATES	USA	JPY	100% after shipment date 	13	0.00%	excluded		ETD	10	100				excluded	RTW	Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1360	COD	*
